TF	Total genes	Activados	Reprimidos	Tipo	Lista de genes
ATP-dependent RNA helicase DeaD	3	3	0	activador	mntR, sdiA, uvrY
AaeR	3	3	0	activador	aaeA, aaeB, aaeX
AccB	2	0	2	represor	accB, accC
AcnB	1	1	0	activador	acnB
AcrR	15	0	15	represor	acrA, acrB, acrR, flhC, flhD, marA, marB, marR, mdtI, mdtJ, mdtU, micF, puuA, soxR, soxS
Ada	2	2	0	activador	aidB, alkA
AdiY	8	8	0	activador	adiA, gadA, gadB, gadC, gadX, gltB, gltD, gltF
AgaR	11	0	11	represor	agaA, agaB, agaC, agaD, agaI, agaR, agaS, agaV, agaW, kbaY, kbaZ
AgrB	1	0	1	represor	dinQ
AidB	1	0	1	represor	aidB
AlaS	1	0	1	represor	alaS
AllR	9	0	9	represor	allA, allB, allS, allW, gcl, glxK, glxR, hyi, ybbY
AllS	3	3	0	activador	allC, allD, allE
AlpA	3	1	2	dual	intA, phoB, phoR
AlsR	6	0	6	represor	alsA, alsB, alsC, alsE, alsR, rpiB
AmeF	2	2	0	activador	mazE, mazF
AppY	10	10	0	activador	appA, appB, appC, appX, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF
AraC	15	6	9	dual	araE, araF, araG, araH, araJ, xylA, xylB, xylZ, ydeM, ydeN, ygeA, yjfF, ytfQ, ytfR, ytfT
